;;;;;;;;;;;;;;;;;;;;;
1;11/3/1996;4;5;30;33;41;52;0;17;2016;0,00;39.158,92;330,21;;;0,00;0,00;1.714.650,23;Sim;Não;
2;18/03/1996;9;37;39;41;43;49;1;65;4488;2.307.162,23;14.424,02;208,91;;PR;0,00;0,00;0,00;Não;Não;
3;25/03/1996;10;11;29;30;36;47;2;62;4261;391.192,51;10.515,93;153,01;;RN;0,00;0,00;0,00;Não;Não;
4;1/4/1996;1;5;6;27;42;59;0;39;3311;0,00;15.322,24;180,48;;;0,00;0,00;717.080,75;Sim;Não;
5;8/4/1996;1;2;6;16;19;46;0;98;5399;0,00;5.318,10;96,53;;;0,00;0,00;1.342.488,85;Sim;Não;
6;15/04/1996;7;13;19;22;40;47;0;109;7147;0,00;7.214,66;110,03;;;0,00;0,00;2.286.166,33;Sim;Não;
7;22/04/1996;3;5;20;21;38;56;0;100;5736;0,00;8.746,05;152,48;;;0,00;0,00;3.335.692,28;Sim;Não;
8;29/04/1996;4;17;37;38;47;53;0;60;5262;0,00;16.084,11;183,40;;;0,00;0,00;4.493.748,19;Sim;Não;
9;6/5/1996;8;43;54;55;56;60;0;17;2175;0,00;60.043,79;469,31;;;0,00;0,00;5.718.641,49;Sim;Não;
10;13/05/1996;4;18;21;25;38;57;0;251;12590;0,00;6.638,45;132,35;;;0,00;0,00;13.334.769,81;Sim;Não;
11;20/05/1996;15;25;37;38;58;59;1;148;9442;15.591.365,07;12.706,05;199,16;;RJ;0,00;0,00;0,00;Não;Não;
12;27/05/1996;4;16;19;20;27;43;0;108;6454;0,00;6.791,17;113,64;;;0,00;0,00;880.136,24;Sim;Não;
13;3/6/1996;18;32;47;50;54;56;0;43;2934;0,00;20.543,98;301,09;;;0,00;0,00;1.940.205,35;Sim;Não;
14;10/6/1996;2;16;23;27;47;53;0;85;5323;0,00;10.458,19;167,00;;;0,00;0,00;3.006.941,32;Sim;Não;
15;17/06/1996;12;33;35;51;52;60;0;57;3931;0,00;17.919,89;259,84;;;0,00;0,00;4.232.661,35;Sim;Não;
16;24/06/1996;20;32;34;49;58;60;0;31;3250;0,00;33.307,13;317,70;;;0,00;0,00;5.471.686,62;Sim;Não;
17;1/7/1996;6;10;13;19;20;51;1;144;9376;6.789.869,08;7.628,37;117,16;;SP;0,00;0,00;0,00;Não;Não;
18;8/7/1996;23;27;36;37;42;56;0;52;4484;0,00;13.763,52;159,61;;;0,00;0,00;858.843,48;Sim;Não;
19;15/07/1996;5;10;12;24;25;60;0;159;9250;0,00;5.380,14;92,48;;;0,00;0,00;10.506.266,73;Sim;Não;
20;22/07/1996;11;25;28;30;33;51;0;72;5728;0,00;15.486,97;194,67;;;0,00;0,00;11.844.340,83;Sim;Não;
21;29/07/1996;6;33;36;46;49;53;0;63;5030;0,00;17.694,19;221,62;;;0,00;0,00;13.182.021,44;Sim;Não;
22;5/8/1996;1;9;31;38;46;56;0;47;4865;0,00;27.212,90;262,90;;;0,00;0,00;14.716.828,84;Sim;Não;
23;12/8/1996;17;37;39;51;52;59;0;74;4897;0,00;20.198,46;305,23;;;0,00;0,00;16.510.452,00;Sim;Não;
24;19/08/1996;1;8;14;28;33;43;1;227;13486;18.661.679,61;7.897,31;132,93;;;0,00;0,00;0,00;Não;Não;
25;25/08/1996;24;43;50;54;55;56;0;28;2741;0,00;26.338,50;269,06;;;0,00;0,00;884.973,50;Sim;Não;
26;1/9/1996;10;22;50;53;57;58;0;16;1823;0,00;52.473,74;460,55;;;0,00;0,00;1.892.469,30;Sim;Não;
27;8/9/1996;13;17;20;33;44;51;0;99;6466;0,00;9.306,24;142,49;;;0,00;0,00;2.998.050,68;Sim;Não;
28;15/09/1996;3;6;22;24;54;60;0;50;4895;0,00;19.749,22;201,73;;;0,00;0,00;4.183.003,48;Sim;Não;
29;22/09/1996;3;8;14;43;56;58;1;44;5248;5.401.793,60;23.083,15;193,53;;RS;0,00;0,00;0,00;Não;Não;
30;29/09/1996;7;14;15;29;38;50;0;80;5885;0,00;11.347,74;154,26;;;0,00;0,00;10.127.520,80;Sim;Não;
31;6/10/1996;17;19;28;45;48;56;0;103;5680;0,00;8.793,04;159,45;;;0,00;0,00;11.214.340,46;Sim;Não;
32;13/10/1996;5;14;33;36;43;44;0;96;6876;0,00;11.430,91;159,60;;;0,00;0,00;12.531.181,83;Sim;Não;
33;20/10/1996;5;17;33;39;42;49;1;128;8722;13.997.410,74;9.545,76;140,09;;MG;0,00;0,00;0,00;Não;Não;
34;27/10/1996;13;15;17;40;53;57;0;51;2627;0,00;13.604,06;264,11;;;0,00;0,00;832.568,20;Sim;Não;
35;3/11/1996;4;16;21;23;54;57;0;39;3576;0,00;20.051,18;218,68;;;0,00;0,00;1.770.963,49;Sim;Não;
36;10/11/1996;3;13;17;25;29;51;0;143;8548;0,00;6.238,12;104,36;;;0,00;0,00;2.841.425,78;Sim;Não;
37;17/11/1996;6;7;22;38;52;60;0;47;3695;0,00;16.848,61;214,32;;;0,00;0,00;3.791.687,26;Sim;Não;
